DistrictNumber,districtType,districtName,year,percentMinority
4054,07,LA CRESCENT MONTESSORI & STEM SCHOO,2004,0
0300,01,LA CRESCENT-HOKAH SCHOOL DISTRICT,2004,0.0441267868241144
2853,01,LAC QUI PARLE VALLEY SCHOOL DIST.,2004,0.0704099821746881
4050,07,LAFAYETTE PUBLIC CHARTER SCHOOL,2004,0.0666666666666667
0397,52,LAKE AGASSIZ SPECIAL ED. COOP.,2004,0.148148148148148
0404,01,LAKE BENTON PUBLIC SCHOOL DISTRICT,2004,0.0292682926829268
0813,01,LAKE CITY PUBLIC SCHOOL DISTRICT,2004,0.0459290187891441
2071,01,LAKE CRYSTAL-WELLCOME MEMORIAL,2004,0.0187265917602996
0390,01,LAKE OF THE WOODS SCHOOL DISTRICT,2004,0.0385164051355207
2889,01,LAKE PARK AUDUBON SCHOOL DISTRICT,2004,0.04
0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.,2004,0.0215384615384615
4116,07,LAKES INTERNATIONAL LANGUAGE ACADEM,2004,NA
2167,01,LAKEVIEW SCHOOL DISTRICT,2004,0.0514184397163121
0194,01,LAKEVILLE PUBLIC SCHOOL DISTRICT,2004,0.0546042617960426
0356,01,LANCASTER PUBLIC SCHOOL DISTRICT,2004,0.0328638497652582
0229,01,LANESBORO PUBLIC SCHOOL DISTRICT,2004,0.0142857142857143
0306,01,LAPORTE PUBLIC SCHOOL DISTRICT,2004,0.214285714285714
4164,07,LAURA JEFFREY ACADEMY CHARTER,2004,NA
2397,01,LE SUEUR-HENDERSON SCHOOL DISTRICT,2004,0.120518688024409
4163,07,LEARNING FOR LEADERSHIP CHARTER,2004,NA
0499,01,LEROY-OSTRANDER PUBLIC SCHOOLS,2004,0.00804289544235925
0424,01,LESTER PRAIRIE PUBLIC SCHOOL DIST.,2004,0.0578512396694215
4233,07,LEVEL UP ACADEMY,2004,NA
0857,01,LEWISTON-ALTURA PUBLIC SCHOOL DIST.,2004,0.024203821656051
4035,07,LIFE PREP,2004,0.724137931034483
4178,07,LINCOLN INTERNATIONAL SCHOOL,2004,NA
4183,07,LIONSGATE ACADEMY,2004,NA
0465,01,LITCHFIELD PUBLIC SCHOOL DISTRICT,2004,0.081025641025641
0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,2004,0.0336360578540195
0362,01,LITTLEFORK-BIG FALLS SCHOOL DIST.,2004,0.0248618784530387
2753,01,LONG PRAIRIE-GREY EAGLE SCHOOL DIST,2004,0.176895306859206
4139,07,LOVEWORKS ACADEMY FOR ARTS,2004,NA
2184,01,LUVERNE PUBLIC SCHOOL DISTRICT,2004,0.0671243325705568
0497,01,LYLE PUBLIC SCHOOL DISTRICT,2004,0.0146520146520147
0415,01,LYND PUBLIC SCHOOL DISTRICT,2004,0.26
0238,01,MABEL-CANTON PUBLIC SCHOOL DIST.,2004,0
2180,01,MACCRAY SCHOOL DISTRICT,2004,0.0597560975609756
0837,01,MADELIA PUBLIC SCHOOL DISTRICT,2004,0.333855799373041
0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,2004,0.638736263736264
0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT,2004,0.0578297595841455
0077,01,MANKATO PUBLIC SCHOOL DISTRICT,2004,0.115563708198109
0881,01,MAPLE LAKE PUBLIC SCHOOL DISTRICT,2004,0.0193548387096774
2135,01,MAPLE RIVER SCHOOL DISTRICT,2004,0.0274509803921569
4254,07,Marine Area Community School,2004,NA
0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,2004,0.0271739130434783
0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,2004,0.154809843400447
2448,01,MARTIN COUNTY WEST SCHOOL DISTRICT,2004,0.0210643015521064
4209,07,MASTERY SCHOOL,2004,NA
4043,07,MATH AND SCIENCE ACADEMY,2004,0.0647482014388489
0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,2004,0.167630057803468
0763,01,MEDFORD PUBLIC SCHOOL DISTRICT,2004,0.0631578947368421
0938,52,MEEKER AND WRIGHT SPECIAL EDUCATION,2004,0.0869565217391304
0740,01,MELROSE PUBLIC SCHOOL DISTRICT,2004,0.124581379772271
0821,01,MENAHGA PUBLIC SCHOOL DISTRICT,2004,0.0244233378561737
2711,01,MESABI EAST SCHOOL DISTRICT,2004,0.0200633579725449
4005,07,METRO DEAF SCHOOL,2004,0.2
4131,07,METRO SCHOOLS CHARTER,2004,NA
6979,61,MID STATE EDUCATION DISTRICT,2004,NA
0398,52,MIDWEST SPECIAL EDUCATION COOP.,2004,0
0912,01,MILACA PUBLIC SCHOOL DISTRICT,2004,0.045643153526971
4138,07,MILROY AREA CHARTER SCHOOL,2004,NA
0635,01,MILROY PUBLIC SCHOOL DISTRICT,2004,0
4177,07,MINISINAAKWAANG LEADERSHIP ACADEMY,2004,NA
0001,03,Minneapolis Public School District,2004,0.728713966403208
0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,2004,0.055793991416309
1100,60,MINNESOTA DEPARTMENT OF CORRECTIONS,2004,NA
4230,07,Minnesota Excellence in Learning Ac,2004,NA
4078,07,MINNESOTA INTERNATIONAL MIDDLE CHTR,2004,1
4102,07,MINNESOTA INTERNSHIP CENTER,2004,0.978102189781022
4231,07,MINNESOTA MATH AND SCIENCE ACADEMY,2004,NA
4007,07,MINNESOTA NEW COUNTRY SCHOOL,2004,0.0882352941176471
4150,07,MINNESOTA ONLINE HIGH SCHOOL,2004,NA
0160,70,MINNESOTA STATE ACADEMIES,2004,0.150684931506849
4017,07,MINNESOTA TRANSITIONS CHARTER SCH,2004,0.759770114942529
0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT,2004,0.0774261051530212
2149,01,MINNEWASKA SCHOOL DISTRICT,2004,0.0234968901174845
6018,61,MN RIVER VALLEY EDUCATION DISTRICT,2004,0.164948453608247
6027,61,MN VALLEY EDUCATION DISTRICT,2004,0.0759493670886076
0129,01,MONTEVIDEO PUBLIC SCHOOL DISTRICT,2004,0.0614334470989761
0882,01,MONTICELLO PUBLIC SCHOOL DISTRICT,2004,0.0350567465321564
0152,01,MOORHEAD PUBLIC SCHOOL DISTRICT,2004,0.153960857409133
0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT,2004,0.054726368159204
0332,01,MORA PUBLIC SCHOOL DISTRICT,2004,0.054488842760768
2769,01,MORRIS AREA PUBLIC SCHOOLS,2004,0.0472906403940887
0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2004,0.158862876254181
0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,2004,0.047976011994003
0173,01,MOUNTAIN LAKE PUBLIC SCHOOLS,2004,0.290874524714829
2169,01,MURRAY COUNTY CENTRAL SCHOOL DIST.,2004,0.0275
4208,07,NASHA SHKOLA CHARTER SCHOOL,2004,NA
0319,01,NASHWAUK-KEEWATIN SCHOOL DISTRICT,2004,0.0760059612518629
4187,07,NATURAL SCIENCE ACADEMY,2004,NA
4155,07,NAYTAHWAUSH COMMUNITY SCHOOL,2004,NA
4055,07,NERSTRAND CHARTER SCHOOL,2004,0.038961038961039
0707,01,NETT LAKE PUBLIC SCHOOL DISTRICT,2004,0.987012987012987
0308,01,NEVIS PUBLIC SCHOOL DISTRICT,2004,0.0723327305605787
4093,07,NEW CENTURY ACADEMY,2004,0.0714285714285714
4240,07,New Century School,2004,NA
4089,07,NEW CITY SCHOOL,2004,0.627118644067797
4161,07,NEW DISCOVERIES MONTESSORI ACADEMY,2004,NA
4003,07,"NEW HEIGHTS SCHOOL, INC.",2004,0.0546875
0345,01,NEW LONDON-SPICER SCHOOL DISTRICT,2004,0.0115874855156431
4143,07,NEW MILLENNIUM ACADEMY CHARTER SCH,2004,NA
0721,01,NEW PRAGUE AREA SCHOOLS,2004,0.0219359331476323
0088,01,NEW ULM PUBLIC SCHOOL DISTRICT,2004,0.0369903320722993
0553,01,NEW YORK MILLS PUBLIC SCHOOL DIST.,2004,0.0226063829787234
0507,01,NICOLLET PUBLIC SCHOOL DISTRICT,2004,0.0168918918918919
4171,07,NOBLE ACADEMY,2004,NA
2215,01,NORMAN COUNTY EAST SCHOOL DISTRICT,2004,0.153846153846154
2527,01,NORMAN COUNTY WEST SCHOOL DISTRICT,2004,0.124324324324324
0138,01,NORTH BRANCH PUBLIC SCHOOLS,2004,0.0460725075528701
4053,07,NORTH LAKES ACADEMY,2004,0.0192307692307692
4243,07,North Metro Flex Academy,2004,NA
4084,07,NORTH SHORE COMMUNITY SCHOOL,2004,0
0622,01,NORTH ST PAUL-MAPLEWOOD OAKDALE DIS,2004,0.21311042674879
4219,07,NORTHEAST COLLEGE PREP,2004,NA
0916,06,NORTHEAST METRO 916,2004,0.199341021416804
6096,52,Northern Lights Academy Cooperative,2004,NA
4146,07,NORTHERN LIGHTS COMMUNITY SCHOOL,2004,NA
0659,01,NORTHFIELD PUBLIC SCHOOL DISTRICT,2004,0.0960230245944532
0118,01,NORTHLAND COMMUNITY SCHOOLS,2004,0.18796992481203
6076,50,NORTHLAND LEARNING CENTER,2004,0.191304347826087
4049,07,NORTHWEST PASSAGE HIGH SCHOOL,2004,0.101796407185629
4098,07,NOVA CLASSICAL ACADEMY,2004,0.131428571428571
2168,01,NRHEG SCHOOL DISTRICT,2004,0.0118694362017804
0333,01,OGILVIE PUBLIC SCHOOL DISTRICT,2004,0.0144717800289436
0480,01,ONAMIA PUBLIC SCHOOL DISTRICT,2004,0.22877358490566
0278,01,ORONO PUBLIC SCHOOL DISTRICT,2004,0.0497630331753555
2903,01,ORTONVILLE PUBLIC SCHOOLS,2004,NA
0213,01,OSAKIS PUBLIC SCHOOL DISTRICT,2004,0.012012012012012
4195,07,OSHKI OGIMAAG CHARTER SCHOOL,2004,NA
0279,01,OSSEO PUBLIC SCHOOL DISTRICT,2004,0.329431283989308
0761,01,OWATONNA PUBLIC SCHOOL DISTRICT,2004,0.144781821837925
4008,07,PACT CHARTER SCHOOL,2004,0.0367231638418079
4104,07,PALADIN CAREER AND TECH HIGH SCHOOL,2004,0.116071428571429
0309,01,PARK RAPIDS PUBLIC SCHOOL DISTRICT,2004,0.094017094017094
0547,01,PARKERS PRAIRIE PUBLIC SCHOOL DIST.,2004,0.0170940170940171
4199,07,PARNASSUS PREPARATORY CHARTER SCH,2004,NA
4097,07,"PARTNERSHIP ACADEMY, INC.",2004,0.952054794520548
0741,01,PAYNESVILLE PUBLIC SCHOOL DISTRICT,2004,0.0189189189189189
0548,01,PELICAN RAPIDS PUBLIC SCHOOL DIST.,2004,0.246644295302013
0186,01,PEQUOT LAKES PUBLIC SCHOOLS,2004,0.0115606936416185
0549,01,PERHAM-DENT PUBLIC SCHOOL DISTRICT,2004,0.0536912751677852
1000,70,PERPICH CENTER FOR ARTS EDUCATION,2004,0.135036496350365
0484,01,PIERZ PUBLIC SCHOOL DISTRICT,2004,0.0161290322580645
4080,07,PILLAGER AREA CHARTER SCHOOL,2004,0.024390243902439
0116,01,PILLAGER PUBLIC SCHOOL DISTRICT,2004,0.010498687664042
4110,07,PIM Arts High School,2004,NA
0578,01,PINE CITY PUBLIC SCHOOL DISTRICT,2004,0.0227140361094933
0255,01,PINE ISLAND PUBLIC SCHOOL DIST.,2004,0.0489174017642342
0025,01,PINE POINT PUBLIC SCHOOL DISTRICT,2004,1
2174,01,PINE RIVER-BACKUS SCHOOL DISTRICT,2004,0.0428704566635601
2689,01,PIPESTONE AREA SCHOOL DISTRICT,2004,0.0508982035928144
2899,01,PLAINVIEW-ELGIN-MILLVILLE,2004,NA
4090,07,PRAIRIE CREEK COMMUNITY SCHOOL,2004,0.0833333333333333
4126,07,PRAIRIE SEEDS ACADEMY,2004,NA
0477,01,PRINCETON PUBLIC SCHOOL DISTRICT,2004,0.0343123000872347
0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS,2004,0.0876465284039675
0704,01,PROCTOR PUBLIC SCHOOL DISTRICT,2004,0.0155579399141631
4213,07,PRODEO ACADEMY,2004,NA
0195,01,RANDOLPH PUBLIC SCHOOL DISTRICT,2004,0.0167014613778706
2906,01,RED LAKE COUNTY CENTRAL PUBLIC SCH,2004,NA
0630,01,RED LAKE FALLS PUBLIC SCHOOL DIST.,2004,0.030690537084399
0038,01,RED LAKE PUBLIC SCHOOL DISTRICT,2004,1
2884,01,RED ROCK CENTRAL SCHOOL DISTRICT,2004,0.0267175572519084
0256,01,RED WING PUBLIC SCHOOL DISTRICT,2004,0.110926602457655
2897,01,REDWOOD AREA SCHOOL DISTRICT,2004,0.190803019903912
0926,83,REGION 4-LAKES COUNTRY SERVICE COOP,2004,0.328358208955224
0991,83,Region 6 and 8-SW/WC Service Coop,2004,0.161764705882353
2890,01,RENVILLE COUNTY WEST SCHOOL DIST.,2004,0.207774798927614
0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT,2004,0.456272838002436
4083,07,RIDGEWAY COMMUNITY SCHOOL,2004,0
6049,61,RIVER BEND EDUCATION DISTRICT,2004,0.08
4190,07,RIVERS EDGE ACADEMY,2004,NA
4064,07,RIVERWAY LEARNING COMMUNITY CHTR,2004,0.121212121212121
0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT,2004,0.330983868623747
4238,07,ROCHESTER BEACON ACADEMY,2004,NA
4135,07,ROCHESTER MATH AND SCIENCE ACADEMY,2004,NA
0535,01,ROCHESTER PUBLIC SCHOOL DISTRICT,2004,0.233454766241651
4204,07,ROCHESTER STEM ACADEMY,2004,NA
0883,01,ROCKFORD PUBLIC SCHOOL DISTRICT,2004,0.0494880546075085
0750,01,ROCORI PUBLIC SCHOOL DISTRICT,2004,0.0399150743099788
4056,07,Rosa Parks Charter High School,2004,0.192982456140351
0682,01,ROSEAU PUBLIC SCHOOL DISTRICT,2004,0.0182432432432432
0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,2004,0.149959735303386
0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT,2004,0.244169666614494
0850,01,ROTHSAY PUBLIC SCHOOL DISTRICT,2004,0.10126582278481
2907,01,ROUND LAKE-BREWSTER PUBLIC SCHOOLS,2004,NA
0485,01,ROYALTON PUBLIC SCHOOL DISTRICT,2004,0.0376344086021505
2902,01,RTR PUBLIC SCHOOLS,2004,NA
6079,52,RUM RIVER SPECIAL EDUCATION COOP,2004,NA
6014,61,RUNESTONE AREA ED. DISTRICT,2004,0.0615384615384615
0139,01,RUSH CITY PUBLIC SCHOOL DISTRICT,2004,0.0425963488843813
0239,01,RUSHFORD-PETERSON PUBLIC SCHOOLS,2004,0.0101156069364162
4087,07,SAGE ACADEMY CHARTER SCHOOL,2004,0.203389830508475
4223,07,SAINT CLOUD MATH AND SCIENCE ACADEM,2004,NA
0748,01,SARTELL-ST. STEPHEN SCHOOL DISTRICT,2004,0.0320605187319885
0743,01,SAUK CENTRE PUBLIC SCHOOL DISTRICT,2004,0.0190641247833622
0047,01,SAUK RAPIDS-RICE PUBLIC SCHOOLS,2004,0.0399445214979196
4058,07,SCHOOLCRAFT LEARNING COMMUNITY CHTR,2004,0.1
0820,01,SEBEKA PUBLIC SCHOOL DISTRICT,2004,0.0103626943005181
4215,07,SEJONG ACADEMY OF MINNESOTA,2004,NA
4159,07,SEVEN HILLS PREPARATORY ACADEMY,2004,NA
0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,2004,0.209278561209892
6090,52,SHERBURNE AND NORTHERN WRIGHT SPECI,2004,NA
2310,01,SIBLEY EAST SCHOOL DISTRICT,2004,0.196527229676401
0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT,2004,0.300455235204856
4038,07,SOJOURNER TRUTH ACADEMY,2004,0.983402489626556
0363,01,SOUTH KOOCHICHING SCHOOL DISTRICT,2004,0.036745406824147
0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,2004,0.172751558325913
0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,2004,0.152728901401241
6083,52,SOUTHERN MN EDUCATION CONSORTIUM,2004,NA
0915,52,SOUTHERN PLAINS EDUCATION COOP.,2004,0.0845070422535211
0500,01,SOUTHLAND PUBLIC SCHOOL DISTRICT,2004,0.0194174757281553
4162,07,SOUTHSIDE FAMILY CHARTER SCHOOL,2004,NA
0288,06,Southwest Metro Intermediate 288,2004,NA
4160,07,SPECTRUM HIGH SCHOOL,2004,NA
4113,07,Spero Academy,2004,NA
0297,01,SPRING GROVE SCHOOL DISTRICT,2004,0.00540540540540541
0016,01,SPRING LAKE PARK PUBLIC SCHOOLS,2004,0.171104422319981
0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT,2004,0.0220913107511046
4112,07,ST PAUL CONSERVATORY PERFORMING ART,2004,NA
0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS,2004,0.170820668693009
0858,01,ST. CHARLES PUBLIC SCHOOL DISTRICT,2004,0.098406747891284
0075,01,ST. CLAIR PUBLIC SCHOOL DISTRICT,2004,0.00153374233128834
0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,2004,0.144528071602929
4120,07,ST. CROIX PREPARATORY ACADEMY,2004,NA
0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT,2004,0.0615539858728557
0840,01,ST. JAMES PUBLIC SCHOOL DISTRICT,2004,0.338118022328549
2142,01,ST. LOUIS COUNTY SCHOOL DISTRICT,2004,0.12044701986755
0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST.,2004,0.273689052437902
0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DIST,2004,0.0466206896551724
4029,07,ST. PAUL CITY SCHOOL,2004,0.903846153846154
0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT,2004,0.706492589978828
0508,01,ST. PETER PUBLIC SCHOOL DISTRICT,2004,0.1
2170,01,STAPLES-MOTLEY SCHOOL DISTRICT,2004,0.0567802271209085
4224,07,STAR OF THE NORTH ACADEMY CHARTER S,2004,NA
4200,07,STEP ACADEMY CHARTER SCHOOL,2004,NA
2856,01,STEPHEN-ARGYLE CENTRAL SCHOOLS,2004,0.0939086294416244
0534,01,STEWARTVILLE PUBLIC SCHOOL DISTRICT,2004,0.0333145115753811
0834,01,STILLWATER AREA PUBLIC SCHOOL DIST.,2004,0.0474813744023129
4169,07,STONEBRIDGE WORLD SCHOOL,2004,NA
4142,07,STRIDE ACADEMY CHARTER SCHOOL,2004,NA
4232,07,Success Academy,2004,NA
4137,07,SWAN RIVER MONTESSORI CHARTER SCH,2004,NA
0486,01,SWANVILLE PUBLIC SCHOOL DISTRICT,2004,0.00275482093663912
4127,07,TEAM ACADEMY,2004,NA
4217,07,TECHNICAL ACADEMIES OF MINNESOTA,2004,NA
4239,07,TESFA INTERNATIONAL SCHOOL,2004,NA
0564,01,THIEF RIVER FALLS SCHOOL DISTRICT,2004,0.0711217183770883
2904,01,TRACY AREA PUBLIC SCHOOL DISTRICT,2004,NA
4106,07,TREKNORTH HIGH SCHOOL,2004,0.2125
2905,01,TRI-CITY UNITED SCHOOL DISTRICT,2004,NA
2358,01,TRI-COUNTY SCHOOL DISTRICT,2004,0.020979020979021
4095,07,TRIO WOLF CREEK DISTANCE LEARNING,2004,0
2125,01,TRITON SCHOOL DISTRICT,2004,0.107400722021661
0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,2004,0.0529100529100529
4132,07,TWIN CITIES ACADEMY,2004,NA
4152,07,TWIN CITIES GERMAN IMMERSION CHTR,2004,NA
4077,07,TWIN CITIES INTERNATIONAL ELEM SCH,2004,1
4121,07,UBAH MEDICAL ACADEMY CHARTER SCHOOL,2004,NA
0914,01,ULEN-HITTERDAL PUBLIC SCHOOL DIST,2004,0.0457746478873239
0550,01,UNDERWOOD PUBLIC SCHOOL DISTRICT,2004,0.0336842105263158
2134,01,UNITED SOUTH CENTRAL SCHOOL DIST.,2004,0.0977822580645161
4225,07,UNIVERSAL ACADEMY CHARTER SCHOOL,2004,NA
4210,07,UPPER MISSISSIPPI ACADEMY,2004,NA
0487,01,UPSALA PUBLIC SCHOOL DISTRICT,2004,0.00503778337531486
4088,07,URBAN ACADEMY CHARTER SCHOOL,2004,0.935483870967742
4218,07,VENTURE ACADEMY,2004,NA
4207,07,VERMILION COUNTRY SCHOOL,2004,NA
0818,01,VERNDALE PUBLIC SCHOOL DISTRICT,2004,0.0533049040511727
0706,01,VIRGINIA PUBLIC SCHOOL DISTRICT,2004,0.0775193798449612
4107,07,VOYAGEURS EXPEDITIONARY,2004,0.1875
0811,01,WABASHA-KELLOGG PUBLIC SCHOOL DIST.,2004,0.0169491525423729
0640,01,WABASSO PUBLIC SCHOOL DISTRICT,2004,0.0025
0110,01,WACONIA PUBLIC SCHOOL DISTRICT,2004,0.0562215791649442
2155,01,WADENA-DEER CREEK SCHOOL DISTRICT,2004,0.0248868778280543
0113,01,WALKER-HACKENSACK-AKELEY SCHL. DIST,2004,0.221032132424537
2176,01,WARREN-ALVARADO-OSLO SCHOOL DIST.,2004,0.121157323688969
0690,01,WARROAD PUBLIC SCHOOL DISTRICT,2004,0.161339421613394
0829,01,WASECA PUBLIC SCHOOL DISTRICT,2004,0.113111726685134
4092,07,WATERSHED HIGH SCHOOL,2004,0.178217821782178
0111,01,WATERTOWN-MAYER PUBLIC SCHOOL DIST.,2004,0.0445043830074174
2143,01,WATERVILLE-ELYSIAN-MORRISTOWN,2004,0.0480392156862745
0435,01,WAUBUN-OGEMA-WHITE EARTH PUBLIC SCH,2004,0.66557911908646
0284,01,WAYZATA PUBLIC SCHOOL DISTRICT,2004,0.128730191397407
2342,01,WEST CENTRAL AREA,2004,0.0354191263282172
6026,61,WEST CENTRAL EDUCATION DISTRICT,2004,0.0222222222222222
4212,07,WEST SIDE SUMMIT CHARTER SCHOOL,2004,NA
0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,2004,0.264147003549802
2898,01,WESTBROOK-WALNUT GROVE SCHOOLS,2004,0.223282442748092
0277,01,WESTONKA PUBLIC SCHOOL DISTRICT,2004,0.0392070484581498
0803,01,WHEATON AREA PUBLIC SCHOOL DISTRICT,2004,0.0508849557522124
0624,01,WHITE BEAR LAKE SCHOOL DISTRICT,2004,0.106490303777603
0347,01,WILLMAR PUBLIC SCHOOL DISTRICT,2004,0.291015169194866
0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,2004,0.0172043010752688
2609,01,WIN-E-MAC SCHOOL DISTRICT,2004,0.0233393177737881
0177,01,WINDOM PUBLIC SCHOOL DISTRICT,2004,0.0846153846153846
0861,01,WINONA AREA PUBLIC SCHOOL DISTRICT,2004,0.093063441125648
4228,07,WOODBURY LEADERSHIP ACADEMY,2004,NA
4016,07,WORLD LEARNER CHARTER SCHOOL,2004,0.101694915254237
0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT,2004,0.409843205574913
0100,01,WRENSHALL PUBLIC SCHOOL DISTRICT,2004,0.0297297297297297
0966,51,WRIGHT TECHNICAL CENTER,2004,0.0296296296296296
2190,01,YELLOW MEDICINE EAST,2004,0.129496402877698
4140,07,YINGHUA ACADEMY,2004,NA
6012,61,ZUMBRO EDUCATION DISTRICT,2004,0.10958904109589
2805,01,ZUMBROTA-MAZEPPA SCHOOL DISTRICT,2004,0.0462573591253154
0000,01,Minneapolis-St. Paul International Airport,2004,NA
2759,01,Eagle Valley,2004,NA
0323,02,Franconia,2004,NA
0815,02,Prinsburg,2004,NA
2396,01,A.C.G.C. PUBLIC SCHOOL DISTRICT,2005,0.0348027842227378
4073,07,ACADEMIA CESAR CHAVEZ CHARTER SCH.,2005,0.98780487804878
4119,07,ACADEMIC ARTS HIGH SCHOOL,2005,0.282051282051282
4018,07,ACHIEVE LANGUAGE ACADEMY,2005,0.800653594771242
2854,01,ADA-BORUP PUBLIC SCHOOL DISTRICT,2005,0.14548802946593
0511,01,ADRIAN PUBLIC SCHOOL DISTRICT,2005,0.0254777070063694
4074,07,AFSA HIGH SCHOOL,2005,0.298701298701299
4220,07,AGAMIM CLASSICAL ACADEMY,2005,NA
0001,01,AITKIN PUBLIC SCHOOL DISTRICT,2005,0.0463378176382661
0745,01,ALBANY PUBLIC SCHOOL DISTRICT,2005,0.027124773960217
0241,01,ALBERT LEA PUBLIC SCHOOL DISTRICT,2005,0.154682274247492
0242,01,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,2005,0.0673076923076923
0206,01,ALEXANDRIA PUBLIC SCHOOL DISTRICT,2005,0.0310319942266057
0876,01,ANNANDALE PUBLIC SCHOOL DISTRICT,2005,0.0252331321996709
0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2005,0.147384112329294
4091,07,ARCADIA CHARTER SCHOOL,2005,0.0645161290322581
4227,07,ART AND SCIENCE ACADEMY,2005,NA
0261,01,ASHBY PUBLIC SCHOOL DISTRICT,2005,0.0260586319218241
4184,07,ASPEN ACADEMY,2005,NA
4250,07,Athlos Academy of Saint Cloud,2005,NA
4011,07,ATHLOS LEADERSHIP ACADEMY,2005,0.702127659574468
4111,07,AUGSBURG FAIRVIEW ACADEMY,2005,NA
4067,07,AURORA CHARTER SCHOOL,2005,0.994350282485876
6095,52,Austin Albert Lea Area Special Educ,2005,NA
0492,01,AUSTIN PUBLIC SCHOOL DISTRICT,2005,0.201881331403763
4075,07,AVALON SCHOOL,2005,0.235772357723577
0676,01,BADGER PUBLIC SCHOOL DISTRICT,2005,0.0365296803652968
0162,01,BAGLEY PUBLIC SCHOOL DISTRICT,2005,0.249294449670743
0146,01,BARNESVILLE PUBLIC SCHOOL DIST.,2005,0.0195567144719687
0091,01,BARNUM PUBLIC SCHOOL DISTRICT,2005,0.0538461538461538
0542,01,BATTLE LAKE PUBLIC SCHOOL DISTRICT,2005,0.0407407407407407
4226,07,BDOTE LEARNING CENTER,2005,NA
4124,07,BEACON ACADEMY,2005,0.230769230769231
0726,01,BECKER PUBLIC SCHOOL DISTRICT,2005,0.0279637652619141
2364,01,BELGRADE-BROOTEN-ELROSA SCHOOL DIST,2005,0.0989847715736041
0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,2005,0.0448895027624309
0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,2005,0.186953871164397
0998,52,BEMIDJI REGIONAL INTERDIST. COUNCIL,2005,0.947368421052632
0777,01,BENSON PUBLIC SCHOOL DISTRICT,2005,0.0476626947754354
6383,61,BENTON-STEARNS ED. DISTRICT,2005,0.131147540983607
0786,01,BERTHA-HEWITT PUBLIC SCHOOL DIST.,2005,0.0147991543340381
4192,07,BEST ACADEMY,2005,NA
0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,2005,0.0708422012769839
4246,07,Big Picture Twin Cities,2005,NA
4145,07,BIRCH GROVE COMMUNITY SCHOOL,2005,NA
2534,01,BIRD ISLAND-OLIVIA-LAKE LILLIAN,2005,0.173633440514469
0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,2005,0.132985658409387
0756,01,BLOOMING PRAIRIE PUBLIC SCHOOL DIST,2005,0.0873533246414602
0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,2005,0.299183440941891
2860,01,BLUE EARTH AREA PUBLIC SCHOOL,2005,0.0994020926756353
4082,07,BLUESKY CHARTER SCHOOL,2005,0.25
4001,07,BLUFFVIEW MONTESSORI,2005,0.06
0314,01,BRAHAM PUBLIC SCHOOL DISTRICT,2005,0.0255047821466525
0181,01,BRAINERD PUBLIC SCHOOL DISTRICT,2005,0.0377122182020596
2908,01,BRANDON-EVANSVILLE PUBLIC SCHOOLS,2005,NA
0846,01,BRECKENRIDGE PUBLIC SCHOOL DISTRICT,2005,0.0671140939597315
4189,07,BRIGHT WATER ELEMENTARY,2005,NA
0286,01,BROOKLYN CENTER SCHOOL DISTRICT,2005,0.659964518036665
