DistrictNumber,districtType,districtName,year,percentMinority
0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST.,2000,0.0075187969924812
4000,07,CITY ACADEMY,2000,0.705882352941177
4172,07,CLARKFIELD CHARTER SCHOOL,2000,NA
2311,01,CLEARBROOK-GONVICK SCHOOL DISTRICT,2000,0.0939044481054366
0391,01,CLEVELAND PUBLIC SCHOOL DISTRICT,2000,0.025
0592,01,CLIMAX-SHELLY PUBLIC SCHOOLS,2000,0.17877094972067
2888,01,CLINTON-GRACEVILLE-BEARDSLEY,2000,0.0300884955752212
0094,01,CLOQUET PUBLIC SCHOOL DISTRICT,2000,0.155186385737439
4193,07,COLLEGE PREPARATORY ELEMENTARY,2000,NA
4188,07,COLOGNE ACADEMY,2000,NA
0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,2000,0.210875331564987
0081,01,COMFREY PUBLIC SCHOOL DISTRICT,2000,0.0224719101123595
4015,07,COMMUNITY OF PEACE ACADEMY,2000,0.924281984334204
4181,07,COMMUNITY SCHOOL OF EXCELLENCE,2000,NA
0166,01,COOK COUNTY PUBLIC SCHOOLS,2000,0.148097826086957
4201,07,CORNERSTONE MONTESSORI ELEMENTARY,2000,NA
0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS,2000,0.0116279069767442
0593,01,CROOKSTON PUBLIC SCHOOL DISTRICT,2000,0.178815489749431
0182,01,CROSBY-IRONTON PUBLIC SCHOOL DIST.,2000,0.0352201257861635
4059,07,CROSSLAKE COMMUNITY CHARTER SCHOOL,2000,NA
4025,07,CYBER VILLAGE ACADEMY,2000,0.0774647887323944
0466,01,DASSEL-COKATO PUBLIC SCHOOL DIST.,2000,0.0260600706713781
4185,07,DAVINCI ACADEMY,2000,NA
0378,01,DAWSON-BOYD PUBLIC SCHOOL DISTRICT,2000,0.0249632892804699
0317,01,DEER RIVER PUBLIC SCHOOL DISTRICT,2000,0.25324114088159
0879,01,DELANO PUBLIC SCHOOL DISTRICT,2000,0.0336084905660377
0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,2000,0.139366827253957
2164,01,DILWORTH-GLYNDON-FELTON,2000,0.11144578313253
4221,07,DISCOVERY CHARTER SCHOOL,2000,NA
4081,07,DISCOVERY PUBLIC SCHOOL FARIBAULT,2000,NA
4198,07,Discovery Woods,2000,NA
0533,01,DOVER-EYOTA PUBLIC SCHOOL DISTRICT,2000,0.00661625708884688
4153,07,DUGSI ACADEMY,2000,NA
0709,01,DULUTH PUBLIC SCHOOL DISTRICT,2000,0.111224329832262
4020,07,DULUTH PUBLIC SCHOOLS ACADEMY,2000,0.111405835543767
4026,07,E.C.H.O. CHARTER SCHOOL,2000,0.0606060606060606
4122,07,EAGLE RIDGE ACADEMY CHARTER SCHOOL,2000,NA
2580,01,EAST CENTRAL SCHOOL DISTRICT,2000,0.118980169971671
0595,01,EAST GRAND FORKS PUBLIC SCHOOL DIST,2000,0.156924697209057
4166,07,EAST RANGE ACADEMY OF TECH-SCIENCE,2000,NA
0112,01,EASTERN CARVER COUNTY PUBLIC SCHOOL,2000,0.064520827264783
0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,2000,0.0870071858613323
0463,01,EDEN VALLEY-WATKINS SCHOOL DISTRICT,2000,0.00921658986175115
0581,01,EDGERTON PUBLIC SCHOOL DISTRICT,2000,0.0216606498194946
0273,01,EDINA PUBLIC SCHOOL DISTRICT,2000,0.0672857142857143
4151,07,EDVISIONS OFF CAMPUS SCHOOL,2000,NA
4057,07,EL COLEGIO CHARTER SCHOOL,2000,NA
0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,2000,0.0303668402970187
0514,01,ELLSWORTH PUBLIC SCHOOL DISTRICT,2000,0.0053475935828877
0696,01,ELY PUBLIC SCHOOL DISTRICT,2000,0.0584652862362972
0099,01,ESKO PUBLIC SCHOOL DISTRICT,2000,0.0105062082139446
2154,01,EVELETH-GILBERT SCHOOL DISTRICT,2000,0.0459459459459459
4068,07,EXCELL ACADEMY CHARTER,2000,NA
4036,07,FACE TO FACE ACADEMY,2000,0.304347826086957
2752,01,FAIRMONT AREA SCHOOL DISTRICT,2000,0.0525036460865338
0656,01,FARIBAULT PUBLIC SCHOOL DISTRICT,2000,0.129647513278609
0192,01,FARMINGTON PUBLIC SCHOOL DISTRICT,2000,0.0273454868830591
0935,52,FERGUS FALLS AREA SP. ED. COOP.,2000,0.150684931506849
0544,01,FERGUS FALLS PUBLIC SCHOOL DISTRICT,2000,0.0310028472002531
0599,01,FERTILE-BELTRAMI SCHOOL DISTRICT,2000,0.0666666666666667
2198,01,FILLMORE CENTRAL,2000,0.0204572803850782
0600,01,FISHER PUBLIC SCHOOL DISTRICT,2000,0.0906040268456376
4244,07,FIT Academy,2000,NA
0698,01,FLOODWOOD PUBLIC SCHOOL DISTRICT,2000,0.0256410256410256
0051,01,FOLEY PUBLIC SCHOOL DISTRICT,2000,0.0107163000564016
0831,01,FOREST LAKE PUBLIC SCHOOL DISTRICT,2000,0.0238251079984291
0601,01,FOSSTON PUBLIC SCHOOL DISTRICT,2000,0.0948396094839609
0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,2000,0.0787589498806683
6004,61,FRESHWATER ED. DIST.,2000,0.157894736842105
0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT,2000,0.130065611732922
4079,07,FRIENDSHIP ACDMY OF FINE ARTS CHTR.,2000,NA
0505,01,FULDA PUBLIC SCHOOL DISTRICT,2000,0.0423452768729642
2365,01,G.F.W.,2000,0.0678952473326867
4168,07,GLACIAL HILLS ELEMENTARY,2000,NA
2859,01,GLENCOE-SILVER LAKE SCHOOL DISTRICT,2000,0.12611198325484
2886,01,GLENVILLE-EMMONS SCHOOL DISTRICT,2000,0.0538461538461538
4186,07,GLOBAL ACADEMY,2000,NA
6051,61,GOODHUE COUNTY EDUCATION DISTRICT,2000,0
0253,01,GOODHUE PUBLIC SCHOOL DISTRICT,2000,0.0167785234899329
0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT,2000,0.0321100917431193
2536,01,GRANADA HUNTLEY-EAST CHAIN,2000,0.0235294117647059
0495,01,GRAND MEADOW PUBLIC SCHOOL DISTRICT,2000,0.0402144772117962
0318,01,GRAND RAPIDS PUBLIC SCHOOL DISTRICT,2000,0.0761509927994763
4100,07,GREAT EXPECTATIONS,2000,NA
4105,07,GREAT RIVER SCHOOL,2000,NA
4144,07,GREEN ISLE COMMUNITY SCHOOL,2000,NA
2683,01,GREENBUSH-MIDDLE RIVER SCHOOL DIST.,2000,0.0173410404624277
0316,01,GREENWAY PUBLIC SCHOOL DISTRICT,2000,0.0560747663551402
0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,2000,0.00975609756097561
0768,01,HANCOCK PUBLIC SCHOOL DISTRICT,2000,0.00813008130081301
4085,07,HARBOR CITY INTERNATIONAL CHARTER,2000,NA
4032,07,HARVEST PREPARATORY SCHOOL,2000,1
0200,01,HASTINGS PUBLIC SCHOOL DISTRICT,2000,0.0346161284084316
0150,01,HAWLEY PUBLIC SCHOOL DISTRICT,2000,0.0118025751072961
0203,01,HAYFIELD PUBLIC SCHOOL DISTRICT,2000,0.0205078125
0402,01,HENDRICKS PUBLIC SCHOOL DISTRICT,2000,0
4205,07,HENNEPIN ELEMENTARY SCHOOL,2000,NA
0545,01,HENNING PUBLIC SCHOOL DISTRICT,2000,0.0293398533007335
0264,01,HERMAN-NORCROSS SCHOOL DISTRICT,2000,0.0235294117647059
0700,01,HERMANTOWN PUBLIC SCHOOL DISTRICT,2000,0.035585353274884
0330,01,HERON LAKE-OKABENA SCHOOL DISTRICT,2000,0.0412371134020619
4170,07,HIAWATHA ACADEMIES,2000,NA
6013,61,HIAWATHA VALLEY ED. DISTRICT,2000,0.0568181818181818
0701,01,HIBBING PUBLIC SCHOOL DISTRICT,2000,0.027130545802745
