DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,01,1,2,0,1,0,1,2,2,51,37,54,43,9,97,  , ,  
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,02,0,1,1,0,0,0,1,0,57,48,59,49,3,108,  , ,  
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,03,0,0,1,1,0,0,0,1,43,41,44,43,3,87,  , ,  
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,04,1,1,0,0,0,0,0,0,46,50,47,51,2,98,  , ,  
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,05,4,0,0,1,0,0,0,0,45,50,49,51,5,100,  , ,  
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,06,1,3,1,0,0,1,0,0,44,47,46,51,6,97,  , ,  
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,07,0,1,0,1,1,0,3,1,48,49,52,52,7,104,  , ,  
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,08,0,3,1,1,0,0,1,0,50,41,52,45,6,97,  , ,  
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,09,0,2,0,1,1,0,1,0,55,51,57,54,5,111,  , ,  
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,10,0,1,1,1,0,1,0,1,62,57,63,61,5,124,  , ,  
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,11,1,0,0,1,0,0,0,0,54,46,55,47,2,102,  , ,  
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,12,0,0,2,0,1,1,0,0,55,40,58,41,4,99,  , ,  
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,All Grades,8,15,8,9,4,4,8,7,662,600,690,635,63,1325,  , ,  
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,KG,0,1,1,1,1,0,0,2,43,38,45,42,6,87,  , ,  
