dat_yer,dst_num,dst_tye,dst_nam,grd,cou_num,ecu_num,ami_mal,ami_fem,api_mal,api_fem,his_mal,his_fem,blk_mal,blk_fem,wht_mal,wht_fem,tot_mal,tot_fem,tot_mny,tot_tot,eco_dev
01-02,0001,01,AITKIN,01,01,03,3,0,0,0,0,0,0,0,37,49,40,49,3,89,03
01-02,0001,01,AITKIN,02,01,03,1,2,1,0,0,1,0,1,46,56,48,60,6,108,03
01-02,0001,01,AITKIN,03,01,03,0,1,0,0,1,0,3,0,43,46,47,47,5,94,03
01-02,0001,01,AITKIN,04,01,03,0,1,0,1,0,0,1,0,48,38,49,40,3,89,03
01-02,0001,01,AITKIN,05,01,03,1,1,0,0,1,0,1,0,52,44,55,45,4,100,03
01-02,0001,01,AITKIN,06,01,03,1,1,0,0,0,1,0,1,60,46,61,49,4,110,03
01-02,0001,01,AITKIN,07,01,03,1,0,0,0,1,0,0,0,43,45,45,45,2,90,03
01-02,0001,01,AITKIN,08,01,03,0,1,1,0,1,0,0,0,54,43,56,44,3,100,03
01-02,0001,01,AITKIN,09,01,03,1,1,0,0,1,2,0,0,59,59,61,62,5,123,03
01-02,0001,01,AITKIN,10,01,03,1,1,2,1,0,1,0,0,59,45,62,48,6,110,03
01-02,0001,01,AITKIN,11,01,03,0,1,2,2,0,1,2,1,57,58,61,63,9,124,03
01-02,0001,01,AITKIN,12,01,03,1,2,1,0,0,0,0,0,62,53,64,55,4,119,03
01-02,0001,01,AITKIN,KG,01,03,1,1,0,1,0,1,0,0,49,45,50,48,4,98,03
01-02,0001,01,AITKIN,PK,01,03,0,0,0,0,0,0,1,0,6,2,7,2,1,9,03
01-02,0001,03,MINNEAPOLIS,01,27,11,73,63,242,239,278,246,782,732,482,457,1857,1737,2655,3594,11
01-02,0001,03,MINNEAPOLIS,02,27,11,74,82,261,277,297,244,763,705,525,424,1920,1732,2703,3652,11
01-02,0001,03,MINNEAPOLIS,03,27,11,92,87,290,255,214,221,831,785,501,458,1928,1806,2775,3734,11
01-02,0001,03,MINNEAPOLIS,04,27,11,91,96,296,298,251,234,891,793,508,406,2037,1827,2950,3864,11
01-02,0001,03,MINNEAPOLIS,05,27,11,100,99,313,274,197,201,909,832,493,479,2012,1885,2925,3897,11
01-02,0001,03,MINNEAPOLIS,06,27,11,93,89,302,289,211,182,884,801,465,475,1955,1836,2851,3791,11
01-02,0001,03,MINNEAPOLIS,07,27,11,74,83,266,271,158,141,854,809,454,420,1806,1724,2656,3530,11
01-02,0001,03,MINNEAPOLIS,08,27,11,75,55,270,254,179,126,839,758,423,430,1786,1623,2556,3409,11
01-02,0001,03,MINNEAPOLIS,09,27,11,68,75,267,221,191,160,822,783,536,461,1884,1700,2587,3584,11
01-02,0001,03,MINNEAPOLIS,10,27,11,69,75,255,276,260,198,946,896,507,497,2037,1942,2975,3979,11
01-02,0001,03,MINNEAPOLIS,11,27,11,53,54,219,235,175,135,795,814,500,496,1742,1734,2480,3476,11
01-02,0001,03,MINNEAPOLIS,12,27,11,44,50,217,243,103,71,589,674,524,485,1477,1523,1991,3000,11
01-02,0001,03,MINNEAPOLIS,KG,27,11,74,76,281,268,318,286,843,804,633,565,2149,1999,2950,4148,11
01-02,0001,03,MINNEAPOLIS,PK,27,11,16,8,18,5,34,23,136,73,123,62,327,171,313,498,11
01-02,0002,01,HILL CITY,01,01,03,0,1,0,0,0,0,0,0,9,10,9,11,1,20,03
01-02,0002,01,HILL CITY,02,01,03,0,0,0,0,0,0,0,0,13,7,13,7,0,20,03
01-02,0002,01,HILL CITY,03,01,03,0,0,0,0,0,0,0,0,13,9,13,9,0,22,03
01-02,0002,01,HILL CITY,04,01,03,1,0,0,0,0,0,0,0,18,11,19,11,1,30,03
01-02,0002,01,HILL CITY,05,01,03,1,0,0,0,0,0,0,0,14,10,15,10,1,25,03
01-02,0002,01,HILL CITY,06,01,03,0,0,0,0,0,0,0,0,22,10,22,10,0,32,03
01-02,0002,01,HILL CITY,07,01,03,0,0,0,0,0,0,0,0,7,14,7,14,0,21,03
01-02,0002,01,HILL CITY,08,01,03,0,1,0,0,0,0,0,0,20,12,20,13,1,33,03
01-02,0002,01,HILL CITY,09,01,03,0,1,0,0,2,0,0,0,21,17,23,18,3,41,03
01-02,0002,01,HILL CITY,10,01,03,1,1,0,0,0,1,0,0,11,21,12,23,3,35,03
01-02,0002,01,HILL CITY,11,01,03,1,1,0,0,0,0,0,0,13,15,14,16,2,30,03
01-02,0002,01,HILL CITY,12,01,03,0,1,0,0,0,1,0,0,12,12,12,14,2,26,03
01-02,0002,01,HILL CITY,KG,01,03,0,0,0,0,0,0,0,0,12,6,12,6,0,18,03
01-02,0002,01,HILL CITY,PK,01,03,0,0,0,0,0,0,0,0,2,3,2,3,0,5,03
01-02,0004,01,MCGREGOR,01,01,03,8,1,0,0,0,0,0,0,17,19,25,20,9,45,03
01-02,0004,01,MCGREGOR,02,01,03,2,3,0,0,0,0,0,0,12,20,14,23,5,37,03
01-02,0004,01,MCGREGOR,03,01,03,1,0,0,0,0,0,0,0,13,14,14,14,1,28,03
01-02,0004,01,MCGREGOR,04,01,03,2,8,0,0,0,0,0,0,17,15,19,23,10,42,03
01-02,0004,01,MCGREGOR,05,01,03,5,6,0,0,0,0,0,0,20,20,25,26,11,51,03
01-02,0004,01,MCGREGOR,06,01,03,2,3,0,1,0,0,0,0,23,16,25,20,6,45,03
01-02,0004,01,MCGREGOR,07,01,03,2,4,0,0,0,0,0,0,12,12,14,16,6,30,03
01-02,0004,01,MCGREGOR,08,01,03,4,1,0,0,0,0,0,0,29,13,33,14,5,47,03
01-02,0004,01,MCGREGOR,09,01,03,3,6,0,1,0,0,0,0,23,16,26,23,10,49,03
01-02,0004,01,MCGREGOR,10,01,03,2,0,1,0,0,0,0,0,34,16,37,16,3,53,03
01-02,0004,01,MCGREGOR,11,01,03,2,1,0,0,0,0,0,0,17,21,19,22,3,41,03
01-02,0004,01,MCGREGOR,12,01,03,1,1,0,1,0,0,0,1,23,21,24,24,4,48,03
01-02,0004,01,MCGREGOR,KG,01,03,1,0,0,0,0,0,0,0,9,8,10,8,1,18,03
01-02,0004,01,MCGREGOR,PK,01,03,2,1,0,0,0,0,0,0,3,0,5,1,3,6,03
01-02,0006,03,SOUTH ST. PAUL,01,19,11,0,0,2,1,12,8,1,1,82,85,97,95,25,192,11
01-02,0006,03,SOUTH ST. PAUL,02,19,11,2,0,2,1,7,16,3,7,120,110,134,134,38,268,11
01-02,0006,03,SOUTH ST. PAUL,03,19,11,2,1,0,2,15,14,3,5,97,85,117,107,42,224,11
01-02,0006,03,SOUTH ST. PAUL,04,19,11,2,1,1,1,16,10,4,2,114,100,137,114,37,251,11
01-02,0006,03,SOUTH ST. PAUL,05,19,11,0,0,0,2,14,10,5,7,92,98,111,117,38,228,11
01-02,0006,03,SOUTH ST. PAUL,06,19,11,2,1,0,1,14,16,3,5,127,92,146,115,42,261,11
01-02,0006,03,SOUTH ST. PAUL,07,19,11,1,1,0,2,12,14,11,3,111,118,135,138,44,273,11
01-02,0006,03,SOUTH ST. PAUL,08,19,11,1,2,0,3,12,10,2,3,114,122,129,140,33,269,11
01-02,0006,03,SOUTH ST. PAUL,09,19,11,1,1,1,0,11,14,2,3,135,138,150,156,33,306,11
01-02,0006,03,SOUTH ST. PAUL,10,19,11,0,1,3,4,9,11,2,5,165,135,179,156,35,335,11
01-02,0006,03,SOUTH ST. PAUL,11,19,11,1,1,0,3,5,10,5,2,116,150,127,166,27,293,11
01-02,0006,03,SOUTH ST. PAUL,12,19,11,0,1,5,2,4,9,3,1,137,133,149,146,25,295,11
01-02,0006,03,SOUTH ST. PAUL,KG,19,11,1,0,1,4,16,8,2,3,104,108,124,123,35,247,11
01-02,0006,03,SOUTH ST. PAUL,PK,19,11,0,0,0,1,3,1,0,0,23,8,26,10,5,36,11
01-02,0011,01,ANOKA-HENNEPIN,01,02,11,13,13,35,54,25,19,55,60,1354,1256,1482,1402,274,2884,11
01-02,0011,01,ANOKA-HENNEPIN,02,02,11,18,12,60,49,25,19,76,70,1413,1337,1592,1487,329,3079,11
01-02,0011,01,ANOKA-HENNEPIN,03,02,11,13,17,57,53,26,31,82,61,1382,1386,1560,1548,340,3108,11
