countyName,countyFIPS,familySize,numberAdults,numberWorkers,numberChildren,adultAge,year,yearlyCost,hourlyWage
Clearwater,029,4,2,1,2,19-50,2018,52476,25.23
Clearwater,029,2,1,1,1,19-50,2018,41064,19.74
Clearwater,029,5,2,1.5,3,19-50,2018,61608,19.75
Clearwater,029,6,2,2,4,19-50,2018,71016,17.07
Clearwater,029,4,2,2,2,19-50,2018,63636,15.3
Clearwater,029,4,2,1.5,2,19-50,2018,58704,18.82
Clearwater,029,2,2,1,0,19-50,2018,36660,17.63
Clearwater,029,2,2,2,0,51+,2018,38064,9.15
Clearwater,029,1,1,1,0,51+,2018,28896,13.89
Clearwater,029,2,2,1.5,0,51+,2018,38064,12.2
Clearwater,029,6,2,1,4,19-50,2018,59796,28.75
Clearwater,029,3,2,1,1,19-50,2018,43908,21.11
Clearwater,029,2,2,2,0,19-50,2018,37548,9.03
Clearwater,029,3,2,1.5,1,19-50,2018,47844,15.33
Clearwater,029,4,1,1,3,19-50,2018,59700,28.7
Clearwater,029,2,2,1,0,51+,2018,37152,17.86
Clearwater,029,5,1,1,4,19-50,2018,62712,30.15
Clearwater,029,5,2,1,3,19-50,2018,55416,26.64
Clearwater,029,6,2,1.5,4,19-50,2018,66084,21.18
Fillmore,045,4,2,2,2,19-50,2018,64836,15.59
Fillmore,045,5,2,2,3,19-50,2018,67812,16.3
Fillmore,045,6,2,1.5,4,19-50,2018,65976,21.15
Fillmore,045,3,2,1.5,1,19-50,2018,47232,15.14
Fillmore,045,6,2,2,4,19-50,2018,72120,17.34
Fillmore,045,4,1,1,3,19-50,2018,61056,29.35
Fillmore,045,1,1,1,0,51+,2018,28140,13.53
Fillmore,045,2,1,1,1,19-50,2018,41472,19.94
Fillmore,045,2,2,1,0,51+,2018,36348,17.48
Fillmore,045,5,2,1.5,3,19-50,2018,61596,19.74
Fillmore,045,3,2,2,1,19-50,2018,51564,12.4
Fillmore,045,2,2,1.5,0,19-50,2018,36720,11.77
Fillmore,045,2,2,1,0,19-50,2018,35868,17.24
Fillmore,045,5,2,1,3,19-50,2018,54528,26.22
Fillmore,045,3,2,1,1,19-50,2018,42888,20.62
Fillmore,045,2,2,2,0,19-50,2018,36720,8.83
Fillmore,045,4,2,1.5,2,19-50,2018,58812,18.85
Beltrami,007,1,1,1,0,19-50,2018,27576,13.26
Beltrami,007,2,2,1.5,0,19-50,2018,36276,11.63
Beltrami,007,5,1,1,4,19-50,2018,63072,30.32
Beltrami,007,2,2,1,0,19-50,2018,35436,17.04
Beltrami,007,2,2,1.5,0,51+,2018,36780,11.79
Beltrami,007,5,2,2,3,19-50,2018,66696,16.03
Beltrami,007,2,1,1,1,19-50,2018,41592,20
Beltrami,007,4,2,1.5,2,19-50,2018,57756,18.51
Beltrami,007,3,2,1.5,1,19-50,2018,47016,15.07
Beltrami,007,5,2,1.5,3,19-50,2018,60660,19.44
Beltrami,007,3,1,1,2,19-50,2018,56388,27.11
Beltrami,007,3,2,2,1,19-50,2018,51372,12.35
Beltrami,007,2,2,2,0,51+,2018,36780,8.84
Beltrami,007,4,2,2,2,19-50,2018,63780,15.33
Beltrami,007,3,2,1,1,19-50,2018,42612,20.49
Beltrami,007,6,2,2,4,19-50,2018,70932,17.05
Beltrami,007,5,2,1,3,19-50,2018,53652,25.79
Beltrami,007,4,2,1,2,19-50,2018,50784,24.42
Beltrami,007,2,2,2,0,19-50,2018,36276,8.72
Beltrami,007,6,2,1.5,4,19-50,2018,64968,20.82
Beltrami,007,4,1,1,3,19-50,2018,60120,28.9
Beltrami,007,1,1,1,0,51+,2018,27852,13.39
Beltrami,007,6,2,1,4,19-50,2018,57996,27.88
Beltrami,007,2,2,1,0,51+,2018,35916,17.27
Benton,009,1,1,1,0,51+,2018,29340,14.11
Benton,009,6,2,1,4,19-50,2018,60324,29
Benton,009,5,1,1,4,19-50,2018,67056,32.24
Benton,009,4,1,1,3,19-50,2018,64188,30.86
Benton,009,2,2,1,0,51+,2018,37404,17.98
Benton,009,6,2,1.5,4,19-50,2018,68064,21.82
Benton,009,2,2,2,0,19-50,2018,37824,9.09
Benton,009,4,2,1,2,19-50,2018,53520,25.73
Benton,009,5,2,1.5,3,19-50,2018,63924,20.49
Benton,009,3,2,1,1,19-50,2018,43380,20.86
Benton,009,6,2,2,4,19-50,2018,74820,17.99
Benton,009,5,2,1,3,19-50,2018,56244,27.04
Benton,009,4,2,2,2,19-50,2018,67896,16.32
Benton,009,2,2,1.5,0,51+,2018,38340,12.29
Benton,009,2,1,1,1,19-50,2018,43428,20.88
Benton,009,2,2,2,0,51+,2018,38340,9.22
Benton,009,5,2,2,3,19-50,2018,70656,16.98
Anoka,003,3,1,1,2,19-50,2018,88212,42.41
Anoka,003,1,1,1,0,19-50,2018,33276,16
Anoka,003,6,2,1,4,19-50,2018,69192,33.27
Anoka,003,5,1,1,4,19-50,2018,94992,45.67
Anoka,003,1,1,1,0,51+,2018,33528,16.12
Anoka,003,2,2,1.5,0,51+,2018,42360,13.58
Anoka,003,3,2,2,1,19-50,2018,70932,17.05
Anoka,003,2,2,1.5,0,19-50,2018,41832,13.41
Anoka,003,4,2,1,2,19-50,2018,62436,30.02
Anoka,003,6,2,2,4,19-50,2018,101772,24.46
Anoka,003,4,2,1.5,2,19-50,2018,78612,25.2
Anoka,003,2,2,1,0,19-50,2018,40776,19.6
Anoka,003,4,1,1,3,19-50,2018,92028,44.24
Anoka,003,4,2,2,2,19-50,2018,94440,22.7
Anoka,003,2,2,1,0,51+,2018,41280,19.85
Anoka,003,3,2,1.5,1,19-50,2018,60588,19.42
Anoka,003,2,2,2,0,51+,2018,42360,10.18
Anoka,003,5,2,1.5,3,19-50,2018,81456,26.11
Anoka,003,5,2,2,3,19-50,2018,97332,23.4
Anoka,003,2,1,1,1,19-50,2018,60792,29.23
Anoka,003,3,2,1,1,19-50,2018,49500,23.8
Anoka,003,2,2,2,0,19-50,2018,41832,10.06
Anoka,003,6,2,1.5,4,19-50,2018,85704,27.47
Anoka,003,5,2,1,3,19-50,2018,65076,31.29
Brown,015,6,2,1.5,4,19-50,2018,59640,19.12
Brown,015,6,2,2,4,19-50,2018,65268,15.69
Brown,015,5,2,2,3,19-50,2018,60984,14.66
Brown,015,5,2,1.5,3,19-50,2018,55200,17.69
Brown,015,3,2,2,1,19-50,2018,47184,11.34
Brown,015,3,2,1.5,1,19-50,2018,43068,13.8
Brown,015,5,2,1,3,19-50,2018,48672,23.4
Brown,015,2,2,2,0,51+,2018,34320,8.25
Brown,015,4,2,1,2,19-50,2018,45672,21.96
Brown,015,2,2,1.5,0,19-50,2018,33816,10.84
Brown,015,5,1,1,4,19-50,2018,57828,27.8
Brown,015,3,2,1,1,19-50,2018,38784,18.65
Brown,015,2,2,1,0,51+,2018,33576,16.14
Brown,015,4,2,2,2,19-50,2018,58056,13.96
Brown,015,1,1,1,0,51+,2018,25500,12.26
Brown,015,2,1,1,1,19-50,2018,37872,18.21
Brown,015,4,1,1,3,19-50,2018,54876,26.38
Carver,019,2,2,1,0,19-50,2018,40488,19.47
Carver,019,5,2,2,3,19-50,2018,96720,23.25
Carver,019,4,2,2,2,19-50,2018,93816,22.55
Carver,019,2,2,1,0,51+,2018,41052,19.74
Carver,019,1,1,1,0,19-50,2018,33012,15.87
Carver,019,3,2,2,1,19-50,2018,68640,16.5
Carver,019,2,2,2,0,51+,2018,42120,10.13
Carver,019,3,2,1,1,19-50,2018,49248,23.68
Carver,019,4,1,1,3,19-50,2018,91428,43.96
Carver,019,2,2,2,0,19-50,2018,41544,9.99
Carver,019,5,2,1.5,3,19-50,2018,81072,25.98
Carver,019,2,2,1.5,0,51+,2018,42120,13.5
Carver,019,5,2,1,3,19-50,2018,64908,31.21
Carver,019,4,2,1.5,2,19-50,2018,78192,25.06
Carver,019,6,2,2,4,19-50,2018,101232,24.33
Carver,019,3,1,1,2,19-50,2018,87552,42.09
Carver,019,3,2,1.5,1,19-50,2018,59364,19.03
Carver,019,5,1,1,4,19-50,2018,94464,45.42
Carver,019,2,1,1,1,19-50,2018,58500,28.13
Carver,019,6,2,1,4,19-50,2018,69096,33.22
Carver,019,1,1,1,0,51+,2018,33252,15.99
Carver,019,6,2,1.5,4,19-50,2018,85392,27.37
Carver,019,2,2,1.5,0,19-50,2018,41544,13.32
Carver,019,4,2,1,2,19-50,2018,62244,29.93
Dakota,037,4,2,1,2,19-50,2018,61248,29.45
Dakota,037,6,2,1,4,19-50,2018,67932,32.66
Dakota,037,5,2,1,3,19-50,2018,63948,30.74
Dakota,037,2,2,1.5,0,19-50,2018,40800,13.08
Dakota,037,4,2,1.5,2,19-50,2018,80892,25.93
Dakota,037,3,2,1,1,19-50,2018,48360,23.25
Dakota,037,5,1,1,4,19-50,2018,100896,48.51
Dakota,037,6,2,1.5,4,19-50,2018,87732,28.12
Dakota,037,6,2,2,4,19-50,2018,107304,25.79
Dakota,037,2,2,1,0,51+,2018,40260,19.36
Dakota,037,2,2,2,0,19-50,2018,40800,9.81
Dakota,037,3,1,1,2,19-50,2018,94140,45.26
Dakota,037,1,1,1,0,19-50,2018,32436,15.59
Dakota,037,5,2,2,3,19-50,2018,102912,24.74
Dakota,037,1,1,1,0,51+,2018,32664,15.7
Dakota,037,2,2,2,0,51+,2018,41364,9.94
Dakota,037,2,1,1,1,19-50,2018,63432,30.5
Big Stone,011,3,1,1,2,19-50,2018,52320,25.15
Big Stone,011,1,1,1,0,19-50,2018,27180,13.07
Big Stone,011,3,2,2,1,19-50,2018,47364,11.39
Big Stone,011,2,2,1.5,0,19-50,2018,36048,11.55
Big Stone,011,6,2,1,4,19-50,2018,56388,27.11
Big Stone,011,1,1,1,0,51+,2018,27396,13.17
Big Stone,011,5,1,1,4,19-50,2018,59028,28.38
Big Stone,011,4,2,1.5,2,19-50,2018,54708,17.53
Big Stone,011,2,2,1,0,19-50,2018,35220,16.93
Big Stone,011,4,1,1,3,19-50,2018,56064,26.95
Big Stone,011,3,2,1,1,19-50,2018,40140,19.3
Big Stone,011,6,2,2,4,19-50,2018,66828,16.06
Big Stone,011,2,2,2,0,51+,2018,36540,8.78
Big Stone,011,4,2,2,2,19-50,2018,59496,14.3
Big Stone,011,2,2,1.5,0,51+,2018,36540,11.71
Big Stone,011,2,2,2,0,19-50,2018,36048,8.67
Big Stone,011,3,2,1.5,1,19-50,2018,44016,14.11
Big Stone,011,2,2,1,0,51+,2018,35688,17.16
Big Stone,011,2,1,1,1,19-50,2018,37776,18.16
Big Stone,011,5,2,2,3,19-50,2018,62472,15.02
Big Stone,011,4,2,1,2,19-50,2018,48828,23.48
Big Stone,011,6,2,1.5,4,19-50,2018,62124,19.91
Big Stone,011,5,2,1.5,3,19-50,2018,57720,18.5
Big Stone,011,5,2,1,3,19-50,2018,51756,24.88
Carlton,017,6,2,1.5,4,19-50,2018,67584,21.66
Carlton,017,5,1,1,4,19-50,2018,66072,31.77
Carlton,017,4,1,1,3,19-50,2018,63216,30.39
Carlton,017,4,2,1,2,19-50,2018,53184,25.57
Carlton,017,2,2,2,0,19-50,2018,38076,9.15
Carlton,017,2,2,1,0,51+,2018,37632,18.09
Carlton,017,5,2,1.5,3,19-50,2018,63396,20.32
Carlton,017,2,2,1.5,0,19-50,2018,38076,12.2
Carlton,017,5,2,2,3,19-50,2018,69720,16.76
Carlton,017,2,2,2,0,51+,2018,38580,9.27
Carlton,017,6,2,2,4,19-50,2018,73932,17.77
Carlton,017,2,1,1,1,19-50,2018,44064,21.18
Carlton,017,3,2,1,1,19-50,2018,44496,21.39
Carlton,017,4,2,2,2,19-50,2018,66816,16.06
Carlton,017,5,2,1,3,19-50,2018,56004,26.93
Carlton,017,4,2,1.5,2,19-50,2018,60516,19.4
Carlton,017,3,2,2,1,19-50,2018,53772,12.93
Dodge,039,5,2,1,3,19-50,2018,57804,27.79
Dodge,039,6,2,2,4,19-50,2018,77268,18.57
Dodge,039,5,2,1.5,3,19-50,2018,65748,21.07
Dodge,039,3,1,1,2,19-50,2018,62616,30.1
Dodge,039,5,2,2,3,19-50,2018,73020,17.55
Dodge,039,4,1,1,3,19-50,2018,66420,31.93
Dodge,039,4,2,1.5,2,19-50,2018,62868,20.15
Jackson,063,1,1,1,0,19-50,2018,26076,12.54
Jackson,063,3,2,1.5,1,19-50,2018,43776,14.03
Jackson,063,5,1,1,4,19-50,2018,58488,28.12
Jackson,063,2,2,2,0,51+,2018,35280,8.48
Jackson,063,2,1,1,1,19-50,2018,37644,18.1
Jackson,063,4,2,1.5,2,19-50,2018,53460,17.13
Jackson,063,2,2,1,0,19-50,2018,33984,16.34
Jackson,063,2,2,2,0,19-50,2018,34752,8.35
Jackson,063,5,2,1.5,3,19-50,2018,56544,18.12
Jackson,063,3,1,1,2,19-50,2018,51744,24.88
Jackson,063,6,2,1,4,19-50,2018,54900,26.39
Jackson,063,5,2,1,3,19-50,2018,50268,24.17
Jackson,063,6,2,1.5,4,19-50,2018,61020,19.56
Jackson,063,3,2,2,1,19-50,2018,47196,11.35
Jackson,063,1,1,1,0,51+,2018,26292,12.64
Jackson,063,4,1,1,3,19-50,2018,55500,26.68
Jackson,063,2,2,1,0,51+,2018,34464,16.57
