Area,Family Size,Number of Adults,Number of Workers,Number of Children,Age of Adults,Yearly Cost,Hourly Wage,Child Care,Food,Health Care,Housing,Transport,Other,Taxes
Becker County                   ,6,2,2,4,19-50,71790,17.26,697,1442,443,918,1115,690,678
Becker County                   ,5,2,2,3,19-50,67447,16.21,697,1183,435,918,1073,614,701
Becker County                   ,3,2,2,1,19-50,51415,12.36,458,749,417,699,943,423,596
Becker County                   ,2,2,2,0,19-50,35535,8.54,0,602,276,542,799,334,408
Becker County                   ,5,2,1,3,19-50,54319,26.11,0,1183,435,918,1073,614,304
Becker County                   ,5,2,1.5,3,19-50,61772,19.8,348,1183,435,918,1073,614,577
Becker County                   ,3,1,1,2,19-50,57715,27.75,697,739,411,918,943,484,618
Becker County                   ,5,1,1,4,19-50,65322,31.4,697,1182,428,918,1073,614,531
Becker County                   ,6,2,1,4,19-50,58795,28.27,0,1442,443,918,1115,690,292
Becker County                   ,2,2,2,0,51+,36310,8.73,0,578,356,542,799,327,424
Blue Earth County               ,5,2,2,3,19-50,69006,16.59,722,1179,435,1202,794,696,722
Blue Earth County               ,6,2,1,4,19-50,59500,28.61,0,1436,443,1202,822,771,284
Blue Earth County               ,2,1,1,1,19-50,42202,20.29,473,482,269,874,611,396,412
Blue Earth County               ,2,2,2,0,19-50,35813,8.61,0,600,276,714,611,384,399
Blue Earth County               ,1,1,1,0,51+,28992,13.94,0,314,174,703,578,297,350
Blue Earth County               ,3,1,1,2,19-50,59833,28.77,722,736,411,1202,707,567,641
Blue Earth County               ,2,2,1,0,51+,35705,17.17,0,575,356,714,611,377,342
Blue Earth County               ,5,2,1,3,19-50,55382,26.63,0,1179,435,1202,794,696,309
Blue Earth County               ,2,2,1.5,0,19-50,35813,11.48,0,600,276,714,611,384,399
Blue Earth County               ,6,2,2,4,19-50,73076,17.57,722,1436,443,1202,822,771,694
Blue Earth County               ,4,2,2,2,19-50,65743,15.8,722,974,426,1202,750,636,769
Blue Earth County               ,2,2,2,0,51+,36573,8.79,0,575,356,714,611,377,415
Blue Earth County               ,3,2,2,1,19-50,51242,12.32,473,746,417,874,707,474,579
Blue Earth County               ,5,2,1.5,3,19-50,63274,20.28,361,1179,435,1202,794,696,606
Blue Earth County               ,5,1,1,4,19-50,66669,32.05,722,1177,428,1202,794,696,537
Blue Earth County               ,3,2,1.5,1,19-50,47201,15.13,237,746,417,874,707,474,478
Blue Earth County               ,6,2,1.5,4,19-50,67318,21.58,361,1436,443,1202,822,771,575
Blue Earth County               ,2,2,1,0,19-50,34978,16.82,0,600,276,714,611,384,330
Blue Earth County               ,4,2,1,2,19-50,52076,25.04,0,974,426,1202,750,636,352
Blue Earth County               ,2,2,1.5,0,51+,36573,11.72,0,575,356,714,611,377,415
Blue Earth County               ,3,2,1,1,19-50,41941,20.16,0,746,417,874,707,474,277
Blue Earth County               ,4,1,1,3,19-50,63475,30.52,722,968,419,1202,750,634,595
Blue Earth County               ,4,2,1.5,2,19-50,60038,19.24,361,974,426,1202,750,636,654
Blue Earth County               ,1,1,1,0,19-50,28596,13.75,0,327,134,703,578,301,340
Dodge County                    ,3,2,2,1,19-50,57381,13.79,538,744,417,959,906,498,720
Dodge County                    ,2,2,1.5,0,19-50,38741,12.42,0,598,276,738,770,390,456
Dodge County                    ,3,2,1.5,1,19-50,52886,16.95,269,744,417,959,906,498,614
Dodge County                    ,4,1,1,3,19-50,70091,33.7,843,965,419,1266,968,652,728
Dodge County                    ,2,2,1,0,19-50,37776,18.16,0,598,276,738,770,390,376
Dodge County                    ,6,2,1.5,4,19-50,73470,23.55,421,1432,443,1266,1070,788,702
Dodge County                    ,4,2,1,2,19-50,57132,27.47,0,971,426,1266,968,654,476
Dodge County                    ,4,2,1.5,2,19-50,65739,21.07,421,971,426,1266,968,654,772
Dodge County                    ,5,2,2,3,19-50,75949,18.26,843,1175,435,1266,1029,713,868
Dodge County                    ,2,2,2,0,19-50,38741,9.31,0,598,276,738,770,390,456
Dodge County                    ,5,1,1,4,19-50,73586,35.38,843,1174,428,1266,1029,713,679
Dodge County                    ,5,2,1,3,19-50,60455,29.06,0,1175,435,1266,1029,713,420
Dodge County                    ,2,2,2,0,51+,39517,9.5,0,574,356,738,770,383,472
