countyName,countyFIPS,familySize,numberAdults,numberWorkers,numberChildren,adultAge,year,yearlyCost
Clearwater,029,5,1,1,4,19-50,2018,62712
Clearwater,029,5,2,1,3,19-50,2018,55416
Clearwater,029,6,2,1.5,4,19-50,2018,66084
Fillmore,045,4,2,2,2,19-50,2018,64836
Fillmore,045,5,2,2,3,19-50,2018,67812
Fillmore,045,6,2,1.5,4,19-50,2018,65976
Fillmore,045,3,2,1.5,1,19-50,2018,47232
Fillmore,045,6,2,2,4,19-50,2018,72120
Fillmore,045,4,1,1,3,19-50,2018,61056
Fillmore,045,1,1,1,0,51+,2018,28140
Fillmore,045,2,1,1,1,19-50,2018,41472
Fillmore,045,2,2,1,0,51+,2018,36348
Fillmore,045,5,2,1.5,3,19-50,2018,61596
Fillmore,045,3,2,2,1,19-50,2018,51564
Fillmore,045,2,2,1.5,0,19-50,2018,36720
Fillmore,045,2,2,1,0,19-50,2018,35868
Fillmore,045,5,2,1,3,19-50,2018,54528
Fillmore,045,3,2,1,1,19-50,2018,42888
Fillmore,045,2,2,2,0,19-50,2018,36720
Fillmore,045,4,2,1.5,2,19-50,2018,58812
Beltrami,007,1,1,1,0,19-50,2018,27576
Beltrami,007,2,2,1.5,0,19-50,2018,36276
Beltrami,007,5,1,1,4,19-50,2018,63072
Beltrami,007,2,2,1,0,19-50,2018,35436
Beltrami,007,2,2,1.5,0,51+,2018,36780
Beltrami,007,5,2,2,3,19-50,2018,66696
Beltrami,007,2,1,1,1,19-50,2018,41592
Beltrami,007,4,2,1.5,2,19-50,2018,57756
Beltrami,007,3,2,1.5,1,19-50,2018,47016
Beltrami,007,5,2,1.5,3,19-50,2018,60660
Beltrami,007,3,1,1,2,19-50,2018,56388
Beltrami,007,3,2,2,1,19-50,2018,51372
Beltrami,007,2,2,2,0,51+,2018,36780
Beltrami,007,4,2,2,2,19-50,2018,63780
Beltrami,007,3,2,1,1,19-50,2018,42612
Beltrami,007,6,2,2,4,19-50,2018,70932
Beltrami,007,5,2,1,3,19-50,2018,53652
Beltrami,007,4,2,1,2,19-50,2018,50784
Beltrami,007,2,2,2,0,19-50,2018,36276
Beltrami,007,6,2,1.5,4,19-50,2018,64968
Beltrami,007,4,1,1,3,19-50,2018,60120
Beltrami,007,1,1,1,0,51+,2018,27852
Beltrami,007,6,2,1,4,19-50,2018,57996
Beltrami,007,2,2,1,0,51+,2018,35916
Benton,009,1,1,1,0,51+,2018,29340
Benton,009,6,2,1,4,19-50,2018,60324
Benton,009,5,1,1,4,19-50,2018,67056
Benton,009,4,1,1,3,19-50,2018,64188
Benton,009,2,2,1,0,51+,2018,37404
Benton,009,6,2,1.5,4,19-50,2018,68064
Benton,009,2,2,2,0,19-50,2018,37824
Benton,009,4,2,1,2,19-50,2018,53520
Benton,009,5,2,1.5,3,19-50,2018,63924
Benton,009,3,2,1,1,19-50,2018,43380
Benton,009,6,2,2,4,19-50,2018,74820
Benton,009,5,2,1,3,19-50,2018,56244
Benton,009,4,2,2,2,19-50,2018,67896
Benton,009,2,2,1.5,0,51+,2018,38340
Benton,009,2,1,1,1,19-50,2018,43428
Benton,009,2,2,2,0,51+,2018,38340
Benton,009,5,2,2,3,19-50,2018,70656
