Area,Family Size,Number of Adults,Number of Workers,Number of Children,Age of Adults,Yearly Cost,Hourly Wage,Child Care,Food,Health Care,Housing,Transport,Other,Taxes
Blue Earth County               ,4,2,1.5,2,19-50,58476,18.74,366,976,504,1159,673,655,540
Blue Earth County               ,2,1,1,1,19-50,40932,19.68,469,483,338,845,562,408,306
Blue Earth County               ,1,1,1,0,51+,28032,13.48,0,315,169,663,559,300,330
Blue Earth County               ,4,2,2,2,19-50,64044,15.4,732,976,504,1159,673,655,638
Blue Earth County               ,6,2,2,4,19-50,71028,17.07,732,1439,519,1159,704,798,568
Blue Earth County               ,5,2,1.5,3,19-50,61248,19.63,366,1182,512,1159,683,719,483
Blue Earth County               ,2,2,2,0,51+,36780,8.84,0,577,409,674,601,384,420
Blue Earth County               ,2,2,2,0,19-50,36264,8.72,0,600,346,674,601,391,410
Blue Earth County               ,1,1,1,0,19-50,27804,13.37,0,327,138,663,559,304,326
Blue Earth County               ,5,1,1,4,19-50,63504,30.53,732,1180,503,1159,627,718,373
Blue Earth County               ,3,2,1,1,19-50,41868,20.13,0,748,496,845,641,489,270
Blue Earth County               ,2,2,1,0,51+,35916,17.27,0,577,409,674,601,384,348
Blue Earth County               ,3,2,2,1,19-50,50268,12.08,469,748,496,845,641,489,501
Blue Earth County               ,3,2,1.5,1,19-50,46152,14.79,234,748,496,845,641,489,393
Blue Earth County               ,2,2,1.5,0,19-50,36264,11.62,0,600,346,674,601,391,410
Blue Earth County               ,4,1,1,3,19-50,60612,29.14,732,971,496,1159,617,654,422
Blue Earth County               ,5,2,1,3,19-50,54420,26.16,0,1182,512,1159,683,719,280
Blue Earth County               ,4,2,1,2,19-50,51648,24.83,0,976,504,1159,673,655,337
Blue Earth County               ,6,2,1.5,4,19-50,65448,20.98,366,1439,519,1159,704,798,469
Blue Earth County               ,2,2,1.5,0,51+,36780,11.79,0,577,409,674,601,384,420
Blue Earth County               ,3,1,1,2,19-50,56952,27.38,732,738,488,1159,593,582,454
Blue Earth County               ,2,2,1,0,19-50,35412,17.02,0,600,346,674,601,391,339
Blue Earth County               ,5,2,2,3,19-50,66924,16.09,732,1182,512,1159,683,719,590
Blue Earth County               ,6,2,1,4,19-50,58572,28.16,0,1439,519,1159,704,798,262
Dodge County                    ,4,2,2,2,19-50,70116,16.85,905,973,504,1168,860,657,776
Dodge County                    ,6,2,1,4,19-50,61836,29.73,0,1435,519,1168,903,799,329
Dodge County                    ,2,2,1.5,0,51+,39084,12.53,0,575,409,667,757,382,467
Dodge County                    ,1,1,1,0,19-50,29880,14.37,0,326,138,656,698,302,370
Dodge County                    ,6,2,1.5,4,19-50,69972,22.43,453,1435,519,1168,903,799,554
Dodge County                    ,4,2,1,2,19-50,55056,26.47,0,973,504,1168,860,657,426
Dodge County                    ,2,2,1.5,0,19-50,38580,12.37,0,599,346,667,757,389,457
Dodge County                    ,5,1,1,4,19-50,69300,33.32,905,1177,503,1168,795,720,507
Dodge County                    ,3,2,1,1,19-50,45504,21.88,0,746,496,876,815,498,361
Dodge County                    ,2,1,1,1,19-50,45924,22.08,585,482,338,876,703,417,426
Dodge County                    ,2,2,1,0,51+,38112,18.32,0,575,409,667,757,382,386
Dodge County                    ,3,2,2,1,19-50,55764,13.4,585,746,496,876,815,498,631
Dodge County                    ,1,1,1,0,51+,30132,14.49,0,314,169,656,698,298,376
Dodge County                    ,3,2,1.5,1,19-50,50868,16.3,292,746,496,876,815,498,516
Dodge County                    ,2,2,2,0,19-50,38580,9.27,0,599,346,667,757,389,457
Dodge County                    ,2,2,1,0,19-50,37632,18.09,0,599,346,667,757,389,378
Dodge County                    ,2,2,2,0,51+,39084,9.4,0,575,409,667,757,382,467
Minnesota                       ,4,1,1,3,19-50,83412,40.1,1667,992,483,1372,700,726,1011
Minnesota                       ,6,2,2,4,19-50,93528,22.48,1667,1471,507,1372,805,873,1099
Minnesota                       ,6,2,1.5,4,19-50,79452,25.47,834,1471,507,1372,805,873,759
Minnesota                       ,4,2,1.5,2,19-50,72348,23.19,834,997,492,1372,768,728,838
Minnesota                       ,2,2,2,0,51+,40008,9.62,0,590,392,775,680,419,478
Minnesota                       ,1,1,1,0,51+,31128,14.97,0,322,168,759,629,332,384
Minnesota                       ,3,2,1.5,1,19-50,55548,17.8,511,764,484,986,729,537,618
Minnesota                       ,4,2,2,2,19-50,86124,20.7,1667,997,492,1372,768,728,1153
Minnesota                       ,2,2,1,0,19-50,38496,18.51,0,613,329,775,680,427,384
Minnesota                       ,3,2,1,1,19-50,46500,22.36,0,764,484,986,729,537,375
Minnesota                       ,5,2,2,3,19-50,89112,21.42,1667,1208,499,1372,779,792,1109
Minnesota                       ,3,1,1,2,19-50,79560,38.25,1667,754,476,1372,670,653,1038
Minnesota                       ,5,1,1,4,19-50,86448,41.56,1667,1206,491,1372,712,792,964
Minnesota                       ,2,2,1,0,51+,39012,18.76,0,590,392,775,680,419,395
Minnesota                       ,6,2,1,4,19-50,64884,31.19,0,1471,507,1372,805,873,379
Minnesota                       ,2,2,1.5,0,19-50,39480,12.65,0,613,329,775,680,427,466
Minnesota                       ,5,2,1.5,3,19-50,75144,24.08,834,1208,499,1372,779,792,778
Minnesota                       ,4,2,1,2,19-50,57864,27.82,0,997,492,1372,768,728,465
Minnesota                       ,2,2,1.5,0,51+,40008,12.82,0,590,392,775,680,419,478
Minnesota                       ,3,2,2,1,19-50,64020,15.39,1022,764,484,986,729,537,813
